ImageID.FeatureID,Value
1.1,67.4819
1.2,39.4524
1.3,31.7598
1.4,38.172
1.5,19.7503
1.6,12.3676
1.7,25.0188
1.8,12.6922
1.9,11.6243
1.10,11.7265
1.11,6.86707
1.12,11.6921
1.13,19.1405
1.14,9.11899
1.15,27.2894
1.16,10.0552
1.17,12.8435
1.18,8.87523
1.19,4.40678
1.20,8.82061
1.21,48.6597
1.22,65.9353
1.23,20.6625
1.24,25.563
1.25,10.229
1.26,25.3853
1.27,15.4827
1.28,24.1211
1.29,48.3736
1.30,78.3836
2.1,66.2652
2.2,39.1694
2.3,31.2
2.4,37.8174
2.5,17.2356
2.6,10.9932
2.7,21.9052
2.8,11.2655
2.9,10.417
2.10,10.5005
2.11,6.16423
2.12,10.5699
2.13,16.6491
2.14,8.08558
2.15,23.4108
2.16,8.80749
2.17,11.5198
2.18,7.9637
2.19,4.06043
2.20,7.90941
2.21,47.5078
2.22,65.6828
2.23,18.3403
2.24,22.6148
2.25,9.24585
2.26,22.3918
2.27,13.8541
2.28,21.372
2.29,47.3506
2.30,76.9562
3.1,54.2319
3.2,34.2191
3.3,28.5567
3.4,31.9123
3.5,15.032
3.6,10.1631
3.7,18.3064
3.8,10.6342
3.9,9.83736
3.10,9.7327
3.11,6.19163
3.12,9.4054
3.13,14.5082
3.14,7.73451
3.15,19.4028
3.16,8.4848
3.17,10.5744
3.18,7.61073
3.19,4.62609
3.20,7.70504
3.21,41.1382
3.22,53.4718
3.23,15.3988
3.24,19.0747
3.25,8.6306
3.26,18.5185
3.27,12.2024
3.28,17.2079
3.29,39.7829
3.30,61.1784
4.1,58.8589
4.2,34.8819
4.3,26.6155
4.4,30.8155
4.5,54.7753
4.6,35.8344
4.7,65.4893
4.8,36.269
4.9,33.4298
4.10,34.0034
4.11,21.5373
4.12,33.1456
4.13,52.6787
4.14,28.1386
4.15,72.5355
4.16,30.0079
4.17,36.1279
4.18,26.4767
4.19,15.6644
4.20,25.4338
4.21,42.6362
4.22,50.5009
4.23,54.4742
4.24,67.4603
4.25,28.419
4.26,66.2596
4.27,42.5663
4.28,63.1749
4.29,40.0813
4.30,74.7392
5.1,59.9499
5.2,33.8995
5.3,28.1849
5.4,33.19
5.5,63.3184
5.6,40.1713
5.7,75.5728
5.8,40.1942
5.9,39.2963
5.10,39.9922
5.11,25.9773
5.12,39.3429
5.13,60.8742
5.14,31.0993
5.15,83.7677
5.16,32.9906
5.17,41.7111
5.18,31.0779
5.19,18.8946
5.20,32.1493
5.21,46.3708
5.22,48.9243
5.23,65.7875
5.24,76.6845
5.25,35.6132
5.26,77.2225
5.27,51.6233
5.28,71.0614
5.29,44.9879
5.30,76.3431
6.1,65.722
6.2,38.0805
6.3,30.7255
6.4,37.6846
6.5,18.0697
6.6,11.5063
6.7,23.0105
6.8,11.7418
6.9,10.8645
6.10,10.9998
6.11,6.40892
6.12,11.0341
6.13,17.4296
6.14,8.42928
6.15,24.7061
6.16,9.17539
6.17,11.9269
6.18,8.30999
6.19,4.31178
6.20,8.26269
6.21,47.5786
6.22,64.4603
6.23,19.1376
6.24,23.5833
6.25,9.60081
6.26,23.439
6.27,14.4526
6.28,22.5118
6.29,47.6666
